"name","referencePath","policyType","category","displayName","description","groupNames","policySets","allowedEffects","prodEffect","prodParameters"
"ee7495e7-3ba7-40b6-bfee-c29e22cc75d4","","BuiltIn","API Management","API Management APIs should use only encrypted protocols","To ensure security of data in transit, APIs should be available only through encrypted protocols, like HTTPS or WSS. Avoid using unsecured protocols, such as HTTP or WS.","Azure_Security_Benchmark_v3.0_DP-3","pr-glob-: Audit (Policy Default)","override: Audit,Disabled,Deny","Audit",""
"c15dcc82-b93c-4dcb-9332-fbf121685b54","","BuiltIn","API Management","API Management calls to API backends should be authenticated","Calls from API Management to backends should use some form of authentication, whether via certificates or credentials. Does not apply to Service Fabric backends.","Azure_Security_Benchmark_v3.0_IM-4","pr-glob-: Audit (Policy Default)","override: Audit,Disabled,Deny","Audit",""
"92bb331d-ac71-416a-8c91-02f2cb734ce4","","BuiltIn","API Management","API Management calls to API backends should not bypass certificate thumbprint or name validation","To improve the API security, API Management should validate the backend server certificate for all API calls. Enable SSL certificate thumbprint and name validation.","Azure_Security_Benchmark_v3.0_IM-4","pr-glob-: Audit (Policy Default)","override: Audit,Disabled,Deny","Audit",""
"b741306c-968e-4b67-b916-5675e5c709f4","","BuiltIn","API Management","API Management direct management endpoint should not be enabled","The direct management REST API in Azure API Management bypasses Azure Resource Manager role-based access control, authorization, and throttling mechanisms, thus increasing the vulnerability of your service.","Azure_Security_Benchmark_v3.0_PV-2","pr-glob-: Audit (Policy Default)","override: Audit,Disabled,Deny","Audit",""
"549814b6-3212-4203-bdc8-1548d342fb67","","BuiltIn","API Management","API Management minimum API version should be set to 2019-12-01 or higher","To prevent service secrets from being shared with read-only users, the minimum API version should be set to 2019-12-01 or higher.","Azure_Security_Benchmark_v3.0_IM-8,Azure_Security_Benchmark_v3.0_PV-2","pr-glob-: Audit (Policy Default)","override: Audit,Deny,Disabled","Audit",""
"f1cc7827-022c-473e-836e-5a51cae0b249","","BuiltIn","API Management","API Management secret named values should be stored in Azure Key Vault","Named values are a collection of name and value pairs in each API Management service. Secret values can be stored either as encrypted text in API Management (custom secrets) or by referencing secrets in Azure Key Vault. To improve security of API Management and secrets, reference secret named values from Azure Key Vault. Azure Key Vault supports granular access management and secret rotation policies.","Azure_Security_Benchmark_v3.0_IM-8,Azure_Security_Benchmark_v3.0_DP-6","pr-glob-: Audit (Policy Default)","override: Audit,Disabled,Deny","Audit",""
"ef619a2c-cc4d-4d03-b2ba-8c94a834d85b","","BuiltIn","API Management","API Management services should use a virtual network","Azure Virtual Network deployment provides enhanced security, isolation and allows you to place your API Management service in a non-internet routable network that you control access to. These networks can then be connected to your on-premises networks using various VPN technologies, which enables access to your backend services within the network and/or on-premises. The developer portal and API gateway, can be configured to be accessible either from the Internet or only within the virtual network.","Azure_Security_Benchmark_v3.0_NS-2","pr-glob-: Audit (default: aPIManagementServicesShouldUseAVirtualNetworkMonitoringEffect)","parameter: Disabled,Audit","Audit","{""aPIManagementServicesShouldUseAVirtualNetworkEvaluatedSkuNames"":[""Developer"",""Premium""]}"
"df73bd95-24da-4a4f-96b9-4e8b94b402bd","","BuiltIn","API Management","API Management should disable public network access to the service configuration endpoints","To improve the security of API Management services, restrict connectivity to service configuration endpoints, like direct access management API, Git configuration management endpoint, or self-hosted gateways configuration endpoint.","Azure_Security_Benchmark_v3.0_NS-2","pr-glob-: AuditIfNotExists (Policy Default)","override: AuditIfNotExists,Disabled","AuditIfNotExists",""
"3aa03346-d8c5-4994-a5bc-7652c2a2aef1","","BuiltIn","API Management","API Management subscriptions should not be scoped to all APIs","API Management subscriptions should be scoped to a product or an individual API instead of all APIs, which could result in an excessive data exposure.","Azure_Security_Benchmark_v3.0_PA-7","pr-glob-: Audit (Policy Default)","override: Audit,Disabled,Deny","Audit",""
"ca610c1d-041c-4332-9d88-7ed3094967c7","","BuiltIn","App Configuration","App Configuration should use private link","Azure Private Link lets you connect your virtual network to Azure services without a public IP address at the source or destination. The private link platform handles the connectivity between the consumer and services over the Azure backbone network. By mapping private endpoints to your app configuration instances instead of the entire service, you'll also be protected against data leakage risks. Learn more at: https://aka.ms/appconfig/private-endpoint.","Azure_Security_Benchmark_v3.0_NS-2","pr-glob-: AuditIfNotExists (default: appConfigurationShouldUsePrivateLinkMonitoringEffect)","parameter: Disabled,AuditIfNotExists","AuditIfNotExists",""
